X,date,month,month2,year,dmy,type,c_name,sc_name,Family,red_list,sex,clasper_stage,TL,gravid_F
9001,8,3,Mar,2022,08-03-2022,S,Grey Reef Shark,Carcharhinus amblyrhynchos,Carcharhinidae,EN,F,NA,160.4056703,
10661,7,4,Apr,2022,07-04-2022,S,Tiger Shark,Galeocerdo cuvier,Galeocerdonidae,NT,M,1,35.42833717,
7582,10,2,Feb,2022,10-02-2022,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,M,2,227.6396301,
4143,17,9,Sep,2021,17-09-2021,S,Pelagic Thresher,Alopias pelagicus,Alopiidae,EN,M,2,226.047026,
1885,12,3,Mar,2021,12-03-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,2,158.7132229,
18364,21,12,Dec,2022,21-12-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,206.8994685,
5425,3,12,Dec,2021,03-12-2021,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,F,NA,224.0788207,
6467,22,12,Dec,2021,22-12-2021,S,Scalloped Hammerhead,Sphyrna lewini,Sphyrnidae,CR,M,3,183.7296393,
14547,23,8,Aug,2022,23-08-2022,S,Pelagic Thresher,Alopias pelagicus,Alopiidae,EN,F,NA,213.2791507,
19259,24,1,Jan,2023,24-01-2023,R,Oceanic Manta Ray,Mobula birostris,Mobulidae,EN,F,NA,346.9613315,
2518,25,3,Mar,2021,25-03-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,192.0073491,
1688,9,3,Mar,2021,09-03-2021,S,Longfin Mako,Isurus paucus,Lamnidae,EN,F,NA,189.7558409,
9178,12,3,Mar,2022,12-03-2022,S,Grey Reef Shark,Carcharhinus amblyrhynchos,Carcharhinidae,EN,F,NA,131.9642477,
18568,23,12,Dec,2022,23-12-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,141.3579028,
11031,11,4,Apr,2022,11-04-2022,S,Grey Reef Shark,Carcharhinus amblyrhynchos,Carcharhinidae,EN,M,1,100.7143005,
8286,25,2,Feb,2022,25-02-2022,S,Longfin Mako,Isurus paucus,Lamnidae,EN,F,NA,150.8429822,
19296,24,1,Jan,2023,24-01-2023,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,195.7404139,
5901,13,12,Dec,2021,13-12-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,158.7927166,
17968,15,12,Dec,2022,15-12-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,189.463518,
9165,9,3,Mar,2022,09-03-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,2,172.1942059,
2931,19,8,Aug,2021,19-08-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,123.3009304,
6268,20,12,Dec,2021,20-12-2021,S,Scalloped Hammerhead,Sphyrna lewini,Sphyrnidae,CR,M,3,248.1017273,
1984,12,3,Mar,2021,12-03-2021,S,Tiger Shark,Galeocerdo cuvier,Galeocerdonidae,NT,F,NA,299.4986126,
4658,28,9,Sep,2021,28-09-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,132.2026922,
5501,4,12,Dec,2021,04-12-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,143.1992977,
5215,25,11,Nov,2021,25-11-2021,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,F,NA,266.4801993,
14048,21,12,Dec,2022,21-12-2022,S,Zebra Shark,Stegostoma tigrinum,Stegostomatidae,EN,F,NA,220.6198516,
10585,7,4,Apr,2022,07-04-2022,S,Bignose Shark,Carcharhinus altimus,Carcharhinidae,NT,F,NA,147.1979605,
3991,10,9,Sep,2021,10-09-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,138.9756827,
11839,6,6,Jun,2022,06-06-2022,S,Shortfin Mako,Isurus oxyrinchus,Lamnidae,EN,M,3,211.9123125,
10312,4,4,Apr,2022,04-04-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,163.7953469,
14634,25,8,Aug,2022,25-08-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,101.9884579,
1179,22,2,Feb,2021,22-02-2021,R,Pink Whipray,Pateobatis fai,Dasyatidae,VU,M,2,122.5476703,
7842,12,2,Feb,2022,12-Feb,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,122.7973805,
932,16,2,Feb,2021,16-02-2021,S,Blacktip Shark,Carcharhinus limbatus,Carcharhinidae,VU,M,3,200.4724243,
8196,19,2,Feb,2022,19-02-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,219.2322817,
4086,16,9,Sep,2021,16-09-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,111.4562744,
3832,9,9,Sep,2021,09-09-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,111.1227302,
6328,20,12,Dec,2021,20-12-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,2,152.8562241,
8901,8,3,Mar,2022,08-03-2022,S,Blacktip Shark,Carcharhinus limbatus,Carcharhinidae,VU,M,3,243.4161169,
9588,16,3,Mar,2022,16-03-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,187.7331833,
15313,28,9,Sep,2022,28-09-2022,S,Shortfin Mako,Isurus oxyrinchus,Lamnidae,EN,M,1,151.6394645,
3101,2,9,Sep,2021,02-09-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,106.6561577,
481,2,2,Feb,2021,02-02-2021,S,Scalloped Hammerhead,Sphyrna lewini,Sphyrnidae,CR,F,NA,268.8287741,
16489,9,11,Nov,2022,09-11-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,184.4399402,
17737,5,12,Dec,2022,05-12-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,M,1,184.4901192,
19980,9,2,Feb,2023,09-02-2023,S,Blue Shark,Prionace glauca,Carcharhinidae,NT,M,3,333.837699,
16263,7,11,Nov,2022,07-11-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,188.6841101,
12193,9,11,Nov,2022,09-11-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,147.3738477,
19049,19,1,Jan,2023,19-01-2023,R,Sicklefin Devil Ray,Mobula tarapacana,Mobulidae,EN,F,NA,257.0888683,
19327,25,1,Jan,2023,25-01-2023,S,Pelagic Thresher,Alopias pelagicus,Alopiidae,EN,F,NA,319.6045728,
9934,31,3,Mar,2022,31-03-2022,S,Whitetip Reef shark,Triaenodon obesus,Carcharhinidae,VU,F,NA,168.7860911,
4896,3,11,Nov,2021,03-11-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,129.3906768,
13255,29,11,Nov,2022,29-11-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,115.5538362,
8131,18,2,Feb,2022,18-02-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,150.8072987,
18306,21,12,Dec,2022,21-12-2022,S,Grey Reef Shark,Carcharhinus amblyrhynchos,Carcharhinidae,EN,F,NA,180.7055466,
15693,11,10,Oct,2022,11-10-2022,S,Pelagic Thresher,Alopias pelagicus,Alopiidae,EN,M,1,212.8798723,
15000,15,9,Sep,2022,15-09-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,105.7133044,
2217,19,3,Mar,2021,19-03-2021,S,Bigeye Thresher,Alopias superciliosus,Alopiidae,VU,F,NA,296.1909449,
10614,7,4,Apr,2022,07-04-2022,S,Bignose Shark,Carcharhinus altimus,Carcharhinidae,NT,F,NA,176.4810154,
14618,25,8,Aug,2022,25-08-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,203.1117123,
4144,17,9,Sep,2021,17-09-2021,S,Pelagic Thresher,Alopias pelagicus,Alopiidae,EN,M,3,271.5286049,
15402,3,10,Oct,2022,03-10-2022,R,Pink Whipray,Pateobatis fai,Dasyatidae,VU,M,3,160.4070271,
3352,6,9,Sep,2021,06-09-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,126.2896364,
7097,1,2,Feb,2022,01-02-2022,R,Oceanic Manta Ray,Mobula birostris,Mobulidae,EN,F,NA,306.9300115,
6349,20,12,Dec,2021,20-12-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,151.6574181,
13910,19,12,Dec,2022,19-12-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,3,284.8636098,
11585,25,5,May,2022,25-05-2022,S,Spadenose Shark,Scoliodon laticaudus,Carcharhinidae,NT,F,NA,120.3408546,
5028,9,11,Nov,2021,09-11-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,90.6518858,
12958,21,11,Nov,2022,21-11-2022,S,Longfin Mako,Isurus paucus,Lamnidae,EN,F,NA,262.7590818,
7451,9,2,Feb,2022,09-02-2022,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,M,1,147.3977909,
17731,5,12,Dec,2022,05-12-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,158.8778382,
13515,5,12,Dec,2022,05-12-2022,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,F,NA,106.3273831,
15326,29,9,Sep,2022,29-09-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,M,3,290.1153409,
5938,14,12,Dec,2021,14-12-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,135.4944215,
8988,8,3,Mar,2022,08-03-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,3,274.5164854,
12885,18,11,Nov,2022,18-11-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,139.4112108,
1147,19,2,Feb,2021,19-02-2021,S,Scalloped Hammerhead,Sphyrna lewini,Sphyrnidae,CR,M,1,158.0463955,
17284,24,11,Nov,2022,24-11-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,M,1,241.9475661,
20097,1,2,Feb,2023,01-02-2023,R,Blotched Fantail Ray,Taeniurops meyeni,Dasyatidae,VU,M,3,167.5166596,
4308,20,9,Sep,2021,20-09-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,133.6172964,
13709,15,12,Dec,2022,15-12-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,3,250.6871523,
17171,22,11,Nov,2022,22-11-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,239.5247504,
4740,28,9,Sep,2021,28-09-2021,S,Pelagic Thresher,Alopias pelagicus,Alopiidae,EN,F,NA,263.047895,
17276,24,11,Nov,2022,24-11-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,M,3,259.4157281,
12118,7,11,Nov,2022,07-11-2022,S,Longfin Mako,Isurus paucus,Lamnidae,EN,F,NA,276.3600923,
3988,10,9,Sep,2021,10-09-2021,R,Sicklefin Devil Ray,Mobula tarapacana,Mobulidae,EN,M,3,308.3900964,
4083,16,9,Sep,2021,16-09-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,93.90376878,
1696,9,3,Mar,2021,09-03-2021,S,Tiger Shark,Galeocerdo cuvier,Galeocerdonidae,NT,F,NA,179.7803249,
19082,19,1,Jan,2023,19-01-2023,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,212.5058461,
4745,28,9,Sep,2021,28-09-2021,S,Pelagic Thresher,Alopias pelagicus,Alopiidae,EN,F,NA,262.1825763,
4280,20,9,Sep,2021,20-09-2021,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,F,NA,204.9914978,
15031,16,9,Sep,2022,16-09-2022,S,Tiger Shark,Galeocerdo cuvier,Galeocerdonidae,NT,F,NA,267.5323067,
19733,7,2,Feb,2023,07-02-2023,S,Blacktip Shark,Carcharhinus limbatus,Carcharhinidae,VU,M,3,277.7192952,
12528,15,11,Nov,2022,15-11-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,235.1091781,
2822,18,8,Aug,2021,18-08-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,116.2884431,
941,16,2,Feb,2021,16-02-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,202.3575302,
17403,30,11,Nov,2022,30-11-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,F,NA,283.2988748,
16697,15,11,Nov,2022,15-11-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,183.2498561,
15418,3,10,Oct,2022,03-10-2022,R,Oman Cownose Ray,Rhinoptera jayakari,Rhinopteridae,EN,M,3,109.6092943,
16025,21,10,Oct,2022,21-10-2022,S,Shortfin Mako,Isurus oxyrinchus,Lamnidae,EN,M,3,225.5108393,
16190,26,10,Oct,2022,26-10-2022,R,Oman Cownose Ray,Rhinoptera jayakari,Rhinopteridae,EN,F,NA,111.2774041,
11910,9,6,Jun,2022,09-06-2022,S,Shortfin Mako,Isurus oxyrinchus,Lamnidae,EN,F,NA,308.8170483,
3778,9,9,Sep,2021,09-09-2021,S,Scalloped Hammerhead,Sphyrna lewini,Sphyrnidae,CR,M,3,236.62374,
8042,15,2,Feb,2022,15-02-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,199.0101423,
14739,2,9,Sep,2022,02-09-2022,S,Blacktip Shark,Carcharhinus limbatus,Carcharhinidae,VU,F,NA,199.4756892,
14318,22,12,Dec,2022,22-12-2022,S,Scalloped Hammerhead,Sphyrna lewini,Sphyrnidae,CR,F,NA,185.6330549,
14498,16,8,Aug,2022,16-08-2022,S,Bigeye Thresher,Alopias superciliosus,Alopiidae,VU,F,NA,325.6633013,
2382,23,3,Mar,2021,23-03-2021,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,M,3,255.131848,
20006,14,2,Feb,2023,14-02-2023,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,F,NA,281.4479473,
10793,7,4,Apr,2022,07-04-2022,S,Bignose Shark,Carcharhinus altimus,Carcharhinidae,NT,F,NA,205.3232036,
12821,18,11,Nov,2022,18-11-2022,S,Shortfin Mako,Isurus oxyrinchus,Lamnidae,EN,M,3,268.9019281,
4240,17,9,Sep,2021,17-09-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,145.5501994,
19009,17,1,Jan,2023,17-01-2023,R,Oman Cownose Ray,Rhinoptera jayakari,Rhinopteridae,EN,M,3,105.6476463,
270,27,1,Jan,2021,27-01-2021,S,Shortfin Mako,Isurus oxyrinchus,Lamnidae,EN,M,1,148.7066249,
3077,2,9,Sep,2021,02-09-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,107.7351139,
6941,13,1,Jan,2022,13-01-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,M,1,191.0671568,
855,11,2,Feb,2021,11-02-2021,S,Tiger Shark,Galeocerdo cuvier,Galeocerdonidae,NT,M,3,290.8259149,
9534,17,3,Mar,2022,17-03-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,2,193.5356746,
16917,17,11,Nov,2022,17-11-2022,R,Oman Cownose Ray,Rhinoptera jayakari,Rhinopteridae,EN,M,3,127.9320067,
17127,21,11,Nov,2022,21-11-2022,S,Pelagic Thresher,Alopias pelagicus,Alopiidae,EN,M,3,627.2690132,
14255,21,12,Dec,2022,21-12-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,3,257.7656246,
17591,1,12,Dec,2022,01-12-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,154.6596423,
78,21,1,Jan,2021,21-01-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,132.0653684,
4589,31,8,Aug,2021,31-08-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,116.4726053,
4999,9,11,Nov,2021,09-11-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,98.73922759,
4004,10,9,Sep,2021,10-09-2021,S,Pelagic Thresher,Alopias pelagicus,Alopiidae,EN,F,NA,211.9691804,
173,23,1,Jan,2021,23-01-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,103.5128144,
18005,16,12,Dec,2022,16-12-2022,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,F,NA,200.139741,
10869,8,4,Apr,2022,08-04-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,F,NA,275.0599636,
19851,7,2,Feb,2023,07-02-2023,S,Blacktip Shark,Carcharhinus limbatus,Carcharhinidae,VU,F,NA,189.2980015,
13250,29,11,Nov,2022,29-11-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,108.7184588,
8872,7,3,Mar,2022,07-03-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,F,NA,261.020252,
1456,26,2,Feb,2021,26-02-2021,S,Scalloped Hammerhead,Sphyrna lewini,Sphyrnidae,CR,F,NA,130.1895449,
10409,6,4,Apr,2022,06-04-2022,S,Grey Reef Shark,Carcharhinus amblyrhynchos,Carcharhinidae,EN,F,NA,200.6742351,
2695,26,3,Mar,2021,26-03-2021,R,Oman Cownose Ray,Rhinoptera jayakari,Rhinopteridae,EN,M,3,107.2993052,
7038,1,2,Feb,2022,01-02-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,233.9630633,
5607,7,12,Dec,2021,07-12-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,206.4033366,
12370,11,11,Nov,2022,11-11-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,184.0539685,
2609,26,3,Mar,2021,26-03-2021,R,Bowmouth Guitarfish,Rhina ancylostoma,Rhinidae,CR,F,NA,183.2222555,
9590,16,3,Mar,2022,16-03-2022,R,Sicklefin Devil Ray,Mobula tarapacana,Mobulidae,EN,F,NA,236.6168658,
6676,6,1,Jan,2022,06-01-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,140.2208803,
7098,1,2,Feb,2022,01-02-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,F,NA,248.3822704,
17668,2,12,Dec,2022,02-12-2022,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,F,NA,133.396621,
6290,20,12,Dec,2021,20-12-2021,S,Tiger Shark,Galeocerdo cuvier,Galeocerdonidae,NT,M,1,145.429239,
10245,4,4,Apr,2022,04-04-2022,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,F,NA,265.3921102,
15277,28,9,Sep,2022,28-09-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,F,NA,233.839206,
11728,4,6,Jun,2022,03-06-2022,S,Shortfin Mako,Isurus oxyrinchus,Lamnidae,EN,M,1,147.4429283,
2383,23,3,Mar,2021,23-03-2021,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,F,NA,264.5117825,
1988,12,3,Mar,2021,12-03-2021,S,Tiger Shark,Galeocerdo cuvier,Galeocerdonidae,NT,F,NA,292.6333205,
18881,16,1,Jan,2023,16-01-2023,R,Pink Whipray,Pateobatis fai,Dasyatidae,VU,F,NA,156.1413685,
10426,6,4,Apr,2022,06-04-2022,S,Grey Reef Shark,Carcharhinus amblyrhynchos,Carcharhinidae,EN,M,3,157.0028398,
16057,21,10,Oct,2022,21-10-2022,S,Smooth Hammerhead,Sphyrna zygaena,Sphyrnidae,VU,F,NA,200.5211246,
2111,17,3,Mar,2021,17-03-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,149.4624417,
5613,7,12,Dec,2021,07-12-2021,S,Scalloped Hammerhead,Sphyrna lewini,Sphyrnidae,CR,F,NA,244.87749,
11670,1,6,Jun,2022,01-06-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,M,3,304.5130371,
13889,19,12,Dec,2022,19-12-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,3,249.3849921,
9232,12,3,Mar,2022,12-03-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,134.9427997,
2892,19,8,Aug,2021,19-08-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,118.7538397,
10199,2,4,Apr,2022,02-04-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,147.1029824,
2623,26,3,Mar,2021,26-03-2021,R,Pink Whipray,Pateobatis fai,Dasyatidae,VU,M,3,146.1160751,
7012,1,2,Feb,2022,01-02-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,F,NA,199.7854724,
8221,19,2,Feb,2022,19-02-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,205.902632,
7749,11,2,Feb,2022,11-02-2022,S,Tawny Nurse Shark,Nebrius ferrugineus,Ginglymostomatidae,VU,M,1,105.3353178,
5601,7,12,Dec,2021,07-12-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,207.664582,
5836,13,12,Dec,2021,13-12-2021,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,M,1,171.3957363,
4977,4,11,Nov,2021,03-11-2021,R,Oman Cownose Ray,Rhinoptera jayakari,Rhinopteridae,EN,M,3,126.1203729,
6233,17,12,Dec,2021,17-12-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,111.6262933,
16079,21,10,Oct,2022,21-10-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,M,1,248.8487681,
4285,20,9,Sep,2021,20-09-2021,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,F,NA,180.2882897,
19170,20,1,Jan,2023,20-01-2023,R,Pink Whipray,Pateobatis fai,Dasyatidae,VU,F,NA,163.9462653,
18000,16,12,Dec,2022,16-12-2022,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,M,3,268.505388,
7337,5,2,Feb,2022,05-02-2022,S,Tiger Shark,Galeocerdo cuvier,Galeocerdonidae,NT,M,2,248.1332698,
14305,22,12,Dec,2022,22-12-2022,S,Pelagic Thresher,Alopias pelagicus,Alopiidae,EN,M,2,214.1067078,
10907,8,4,Apr,2022,08-04-2022,S,Blacktip Shark,Carcharhinus limbatus,Carcharhinidae,VU,F,NA,307.9220847,
3253,3,9,Sep,2021,03-09-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,104.072138,
6321,20,12,Dec,2021,20-12-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,109.2894538,
